idx_int,idx_str,url,pa_null,np_nan,np_inf,np_negative_inf,np_int16,one_value_string,one_value_int,one_value_float,one_value_bool,int8,int16,int32,int64,uint8,uint16,uint32,uint64,halffloat,float,double,bool,bool_with_nulls,int_with_nulls,string,string_with_nulls,datetime,datetime_with_nulls,list_of_integers,list_of_strings,blob,dict,dict_with_nulls,struct,struct_with_nulls,s3_url,s3_alternative_url
0,s0,https://placehold.co/300x400.png,,,inf,-inf,0,single value,1,1.23456789,True,-26,-137,-897,-365,146,882,72,910,0.2274,0.9993535,0.8399471646724719,False,,,"multiple
lines	string",emoji 🤣,2023-12-20,2023-05-14,[65 67],['Nbr' 'nTP3fA' 'bnFbmOHnK'],b'\xf7t\xe6',"[('lQu', 95)]",,"{'x': 3, 'y': '7dW'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
1,s1,https://placehold.co/301x399.png,,,inf,-inf,1,single value,1,1.23456789,True,51,-258,875,129,75,255,793,919,0.608,0.5558066,0.7728227800168045,True,True,1.0,"multiple
lines	string",emoji 🤣,2023-01-28,2023-09-08,[35 81 18],['YaX' 'Rvj7uf' 'f0LYTH8xI'],b'(d\xb1\xab\xa9(\xf5=\xb1',"[('fwU', 93)]",,"{'x': 21, 'y': 'eDl'}","{'x': 60, 'y': 'bMh'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
2,s2,https://placehold.co/302x398.png,,,inf,-inf,2,single value,1,1.23456789,True,-36,264,-747,693,8,708,248,549,0.3794,0.47321013,0.23005368303143392,True,,2.0,c having special characters: !@#$%^&*(),c having special characters: !@#$%^&*(),2023-02-12,2023-08-07,[83 96 75 14],['ZM1' 'JRcore' 'ogrNwwmq6'],b'&(l\xa7pa\x033',"[('tWu', 42)]","[('9DW', 92)]","{'x': 11, 'y': '0YZ'}","{'x': 89, 'y': '0X9'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
3,s3,https://placehold.co/303x397.png,,,inf,-inf,3,single value,1,1.23456789,True,-114,-437,250,682,198,814,46,418,0.744,0.31285486,0.13133512640937806,True,True,,"multiple
lines	string",,2023-06-18,2023-04-01,[62 28],['OLk' 'Tkx9NI' 'Q0Wobtqn6'],b'.\xd4\x84\x03',"[('qs0', 20)]","[('wnV', 29)]","{'x': 17, 'y': 'hVp'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
4,s4,https://placehold.co/304x396.png,,,inf,-inf,4,single value,1,1.23456789,True,-22,20,135,-344,27,920,120,605,0.2056,0.12052258,0.8680543225322929,True,,,"multiple
lines	string",,2023-03-27,2023-12-20,[50 74],['2tO' 'y4CqpI' 'qK3yn9Ffc'],,"[('D1K', 80)]","[('TsC', 13)]","{'x': 70, 'y': 'VBT'}","{'x': 93, 'y': 'zuI'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
5,s5,https://placehold.co/305x395.png,,,inf,-inf,5,single value,1,1.23456789,True,-57,-905,-491,-881,205,449,213,94,0.7876,0.73102367,0.9632366534401319,False,,,emoji 🤣,c having special characters: !@#$%^&*(),2023-06-26,2023-02-15,[81 50],,b'*\xc9\xbf\x13\xaf',"[('6e3', 14)]","[('FyF', 51)]","{'x': 57, 'y': 'cCV'}","{'x': 50, 'y': 'Nam'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
6,s6,https://placehold.co/306x394.png,,,inf,-inf,6,single value,1,1.23456789,True,60,923,496,-170,222,9,238,816,0.6035,0.19259903,0.03130231374751624,True,,2.0,a with space,"multiple
lines	string",2023-01-17,2023-02-07,[38],['gMX' 'Adx9G8' '1aSQHqNgA'],b'\xc2k',"[('F1x', 73)]","[('P0Y', 36)]","{'x': 89, 'y': 'G8D'}","{'x': 95, 'y': 'rWt'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
7,s7,https://placehold.co/307x393.png,,,inf,-inf,7,single value,1,1.23456789,True,-108,757,-902,810,127,823,55,580,0.11426,0.11528202,0.7312700669736856,True,True,2.0,,,2023-04-08,2023-05-22,[69 26  1 92],['C72' 'qFl41s' 'NLjVHWGau'],b'J',"[('sd0', 52)]","[('MkF', 14)]","{'x': 69, 'y': 'Qtu'}","{'x': 70, 'y': 'Fua'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
8,s8,https://placehold.co/308x392.png,,,inf,-inf,8,single value,1,1.23456789,True,-26,-516,-848,627,51,797,349,317,0.4146,0.42176265,0.9095245109478184,True,True,3.0,a with space,"multiple
lines	string",2023-07-17,2023-04-10,,['b52' 'Ztd26f' 'EeVVhDIq2'],b'\x89f\xa7\xd6Q\x05\x8d',"[('imz', 51)]","[('Bl6', 45)]","{'x': 23, 'y': 'Nc6'}","{'x': 0, 'y': 'QvS'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
9,s9,https://placehold.co/309x391.png,,,inf,-inf,9,single value,1,1.23456789,True,-7,430,884,81,82,241,106,955,0.8633,0.79534185,0.8573600920924986,True,False,1.0,emoji 🤣,,2023-04-08,2023-11-24,[ 1 80 40 11],['AnH' 'Tmt9OB' 'GhnuKoneN'],b'\xa3\x14V',"[('J4C', 56)]","[('O7T', 76)]","{'x': 17, 'y': 'GpN'}","{'x': 71, 'y': 'Mbk'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
